name,identifier,message
"2025/26 Germans in the U.S.","2025/26 Germans in the U.S.",""
"24�25 MITxHarvard Climate Crew","24�25 MITxHarvard Climate Crew",""
"AI & Tech Policy @HKS","AI & Tech Policy @HKS",""
"AI in Healthcare @ Harvard","AI in Healthcare @ Harvard",""
"Africa x MIT AI","Africa x MIT AI",""
"Allgemeiner Chat sdw","Allgemeiner Chat sdw",""
"Ambassadors - Global MIT AI","Ambassadors - Global MIT AI",""
"Amsterdam Stiftis","Amsterdam Stiftis",""
"Ask us - MIT AI Hackathon","Ask us - MIT AI Hackathon",""
"Australia - MIT AI Hackathon","Australia - MIT AI Hackathon",""
"Boston x MIT AI Hackathon","Boston x MIT AI Hackathon",""
"Botswana x MIT Global AI","Botswana x MIT Global AI",""
"Canada x MIT AI","Canada x MIT AI",""
"Comms MIT AI Hackathon","Comms MIT AI Hackathon",""
"D. Studienstiftung Basel","D. Studienstiftung Basel",""
"DACH x Global AI Community","DACH x Global AI Community",""
"Dubai In Person Hub x MIT","Dubai In Person Hub x MIT",""
"ETH CS MSc 2025/2026","ETH CS MSc 2025/2026",""
"ETH Data Science 2025","ETH Data Science 2025",""
"ETH Master 2025","ETH Master 2025",""
"France AI x MIT","France AI x MIT",""
"General StuSti Bay Area","General StuSti Bay Area",""
"Germans @ Princeton","Germans @ Princeton",""
"Germans in Chicago","Germans in Chicago",""
"Germans in Philly","Germans in Philly",""
"Germans in Pittsburgh","Germans in Pittsburgh",""
"Germans in Seattle","Germans in Seattle",""
"Germans in the Bay Area","Germans in the Bay Area",""
"Germans in the U.S. - Community","Germans in the U.S. - Community",""
"Germans+ at Harvard 22/23","Germans+ at Harvard 22/23",""
"Germans+ at Harvard 23/24","Germans+ at Harvard 23/24",""
"Germans@NY","Germans@NY",""
"Germans@Stanford (alumni)","Germans@Stanford (alumni)",""
"Germans@Stanford AY 2025/26","Germans@Stanford AY 2025/26",""
"Germany x MIT AI","Germany x MIT AI",""
"Get involved - MIT CNC","Get involved - MIT CNC",""
"Global AI Governance @HAI","Global AI Governance @HAI",""
"Global MIT AI Hack Check","Global MIT AI Hack Check",""
"Global MIT AI Hackathon 2","Global MIT AI Hackathon 2",""
"Global MIT AI hackathon org","Global MIT AI hackathon org",""
"HKS All Students (Class of 2025)","HKS All Students (Class of 2025)",""
"HKS Bay Area Group","HKS Bay Area Group",""
"HKS Buy/Sell","HKS Buy/Sell",""
"HKS Climate","HKS Climate",""
"HKS Community - Enrolled 2025","HKS Community - Enrolled 2025",""
"HKS Housing & Roommate Finder","HKS Housing & Roommate Finder",""
"HKS International Students","HKS International Students",""
"HKS Internationals","HKS Internationals",""
"HKS MPA Class of 2024","HKS MPA Class of 2024",""
"HKS New Admits (AY 2025)","HKS New Admits (AY 2025)",""
"HKS Ukraine Caucus","HKS Ukraine Caucus",""
"HKS-MIT �25 Fam","HKS-MIT �25 Fam",""
"HKS/MIT Dualies","HKS/MIT Dualies",""
"HKS/Sloan Dualies 25/26","HKS/Sloan Dualies 25/26",""
"Hackathons ??","Hackathons ??",""
"Harvard AI Leaders","Harvard AI Leaders",""
"Harvard Grad �23��25 Alumni","Harvard Grad �23��25 Alumni",""
"Harvard MIT India Trek 2025","Harvard MIT India Trek 2025",""
"Harvard Rec Climbers","Harvard Rec Climbers",""
"Hong Kong - Global AI Hackathon","Hong Kong - Global AI Hackathon",""
"India - Global AI Hackathon","India - Global AI Hackathon",""
"India Trek 2026 Harvard + MIT","India Trek 2026 Harvard + MIT",""
"India x MIT AI","India x MIT AI",""
"Internships/Career ??????","Internships/Career ??????",""
"KIIT - Global AI Hackathon","KIIT - Global AI Hackathon",""
"LGO - Sloanies x MIT AI Hackathon","LGO - Sloanies x MIT AI Hackathon",""
"LGO/Harvard MS/MBA 25�26","LGO/Harvard MS/MBA 25�26",""
"MBAs in the Bay Summer 23","MBAs in the Bay Summer 23",""
"MIT & NCP Co-Venture","MIT & NCP Co-Venture",""
"MIT AI Hackathon coord","MIT AI Hackathon coord",""
"MIT AI Hacks","MIT AI Hacks",""
"MIT AI Hacks Community","MIT AI Hacks Community",""
"MIT European Club","MIT European Club",""
"MIT Global AI Hack - 01C","MIT Global AI Hack - 01C",""
"MIT Global AI Hackathon","MIT Global AI Hackathon",""
"MIT Hub - Global AI Hackathon","MIT Hub - Global AI Hackathon",""
"MIT Hub - Participants 4th","MIT Hub - Participants 4th",""
"MIT Node Student Community","MIT Node Student Community",""
"MIT PhD Rockstars","MIT PhD Rockstars",""
"MIT Sloan AI Club 2025-26","MIT Sloan AI Club 2025-26",""
"MIT Sloan AI x Centrale Tech","MIT Sloan AI x Centrale Tech",""
"MIT Stammtisch","MIT Stammtisch",""
"MIT x France x Morocco","MIT x France x Morocco",""
"MITxHarvard Climate Crew","MITxHarvard Climate Crew",""
"Madrid Studienstiftung","Madrid Studienstiftung",""
"Mexico - Global AI Hackathon","Mexico - Global AI Hackathon",""
"Morocco - MIT AI","Morocco - MIT AI",""
"Morocco all x MIT AI","Morocco all x MIT AI",""
"New York Stiftis","New York Stiftis",""
"One MIT","One MIT",""
"Organizers Stanford Hub AI","Organizers Stanford Hub AI",""
"Participants Stanford Hub","Participants Stanford Hub",""
"""Parties, Get-Togethers, Raves""","""Parties, Get-Togethers, Raves""",""
"Pre 2025 Germans in the U.S.","Pre 2025 Germans in the U.S.",""
"Q&A MIT AI Hackathon","Q&A MIT AI Hackathon",""
"SF/Bay Area MBA Summer","SF/Bay Area MBA Summer",""
"Sdw goes Boston GAC","Sdw goes Boston GAC",""
"Singapore x MIT AI","Singapore x MIT AI",""
"Sloan 25's + 26's","Sloan 25's + 26's",""
"Sloan Buy / Sell 26s + 25s","Sloan Buy / Sell 26s + 25s",""
"Sloan Buy/Sell 24s & 25s","Sloan Buy/Sell 24s & 25s",""
"Sloanies For Entrepreneurship","Sloanies For Entrepreneurship",""
"Sloanies for Tech","Sloanies for Tech",""
"Socialising","Socialising",""
"South Bay climbing","South Bay climbing",""
"Stanford Salon Community","Stanford Salon Community",""
"Stanford x MIT AI Hackathon","Stanford x MIT AI Hackathon",""
"Stiftis CPH","Stiftis CPH",""
"Stiftis Dresden&CF","Stiftis Dresden&CF",""
"Stiftis Frankfurt","Stiftis Frankfurt",""
"Stiftis K�ln","Stiftis K�ln",""
"Stiftis London 2025/26","Stiftis London 2025/26",""
"Stiftis M�nchen","Stiftis M�nchen",""
"Stiftis NY","Stiftis NY",""
"Stiftis Oxford","Stiftis Oxford",""
"Stiftis Rotterdam & Co","Stiftis Rotterdam & Co",""
"Stiftis in Australien","Stiftis in Australien",""
"Stiftis in Schweden","Stiftis in Schweden",""
"StuSti 2024 @Boston Ausland","StuSti 2024 @Boston Ausland",""
"StuSti Alumni:ae London","StuSti Alumni:ae London",""
"StuSti BeNeLux","StuSti BeNeLux",""
"StuSti Cambridge","StuSti Cambridge",""
"StuSti Mass","StuSti Mass",""
"StuSti Massachusetts","StuSti Massachusetts",""
"StuSti UK/Ireland","StuSti UK/Ireland",""
"Studienstiftung Bay Area","Studienstiftung Bay Area",""
"Studienstiftung Data","Studienstiftung Data",""
"Studienstiftung MA/LU Social","Studienstiftung MA/LU Social",""
"Studienstiftung Ma/Lu","Studienstiftung Ma/Lu",""
"Studienstiftung M�nchen","Studienstiftung M�nchen",""
"Studienstiftung Sthlm","Studienstiftung Sthlm",""
"Studienstiftung ZH Tennis","Studienstiftung ZH Tennis",""
"Studienstiftung Z�rich","Studienstiftung Z�rich",""
"Studienstiftung Z�rich ????","Studienstiftung Z�rich ????",""
"Studienstiftung in Wien","Studienstiftung in Wien",""
"Studienstiftung x Entrepreneurship","Studienstiftung x Entrepreneurship",""
"Team Germany Trek 2025","Team Germany Trek 2025",""
"Tech Stanford Hub","Tech Stanford Hub",""
"USA x MIT AI","USA x MIT AI",""
"VSRs at Stanford","VSRs at Stanford",""
"sdw","sdw",""
"sdw Allgemein","sdw Allgemein",""
"sdw Alumni Verein","sdw Alumni Verein",""
"sdw Alumni Verein - Die Community","sdw Alumni Verein - Die Community",""
"sdw Bay Area (inoffizielle Community)","sdw Bay Area (inoffizielle Community)",""
"sdw Boston (inoffizielle US Community)","sdw Boston (inoffizielle US Community)",""
"sdw Gro�gruppe MV","sdw Gro�gruppe MV",""
"sdw Job Markt","sdw Job Markt",""
"sdw Karlsruhe","sdw Karlsruhe",""
"sdw MUC x Harvard / MIT","sdw MUC x Harvard / MIT",""
"sdw M�nchen","sdw M�nchen",""
"sdw Regionalgruppe Leipzig","sdw Regionalgruppe Leipzig",""
"sdw Start-up Community","sdw Start-up Community",""
"sdw-Alumni Aachen","sdw-Alumni Aachen",""
